,source_id,ra,dec,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise,bp_rp,teff_gspphot,logg_gspphot,mh_gspphot,vbroad,parallax,phot_g_mean_mag,alphafe_gspspec,original_ext_source_id,angular_distance,plate,mjd,fiberID,redshift,abs_g_mag,x_test_index,X_test_index
82498,2533657596536697728,18.581605930773264,-1.0776110118531947,17.117226,15.819689,133.2687,352.60867,0.0,1.2975368,4492.7334,4.4245,-0.4628,,0.9666719785398299,16.532555,,1237663782594936883,0.022888057,1081,52531,90,8.391708e-05,6.458950274658889,609,609
82504,2533682301188629760,18.96713010239574,-0.9071264771882619,16.562092,14.822503,311.03238,718.74554,0.0,1.7395887,4274.4277,4.5701,0.2479,,2.451257435118777,15.723089,,1237666338116272254,0.045395244,1500,53730,281,-4.722283e-05,7.670033838007704,2206,2206
82603,2533953296444577408,21.224561832891954,-0.37452906126006386,16.928728,15.511079,197.19167,341.68716,0.71589,1.4176493,,,,,1.6866843952868318,16.593998,,1237663783669792908,0.124664,1501,53740,201,-0.0001116976,7.729167090235535,3704,3704
82633,2534028505617126144,22.236110718694317,0.0007917554867923843,17.948988,16.515213,138.99706,289.89487,0.06968747,1.433775,4351.8296,4.5244,-0.0012,,0.7798613656445242,17.283852,,1237663784207122572,0.06519625,1501,53740,58,5.135454e-05,6.743938653097771,1577,1577
82654,2534102555148461824,21.648907585221078,0.23625596568271334,16.322351,15.135082,432.57797,663.82477,0.0,1.1872692,4790.121,4.5293,-0.0442,,1.3228297571619794,15.804944,,1237656512816087092,0.02910153,1079,52621,497,-8.217565e-05,6.41246381759569,2919,2919
82738,2534317608455483776,21.17625323720218,0.5740681082587158,17.957502,16.29896,87.0941,264.52512,0.0,1.6585426,4437.79,4.5976,0.4507,,1.2714052378962166,17.15763,,1237663784743534723,0.046777584,1079,52621,434,-0.0001308402,7.679050901866056,2200,2200
82757,2534370934769822464,21.029765112921353,0.7641879354830732,18.041693,16.816235,73.927216,178.17012,0.13595596,1.2254581,4628.92,4.6511,-0.496,,0.8391978896538304,17.48956,,1237663204923343031,0.028113024,1500,53730,611,-3.894792e-06,7.108881088877265,1486,1486
82791,2534445568416714368,18.82286512725919,-0.6664618096311454,16.166636,14.89937,330.8536,551.05286,0.0,1.2672653,4639.7197,4.5704,-0.0545,,1.4504886245892976,15.603826,,1237663783131873339,0.033866674,1081,52531,57,-0.0001389196,6.411397205210019,537,537
82820,2534496317750189952,17.802008055430782,-0.4996842538647433,16.371935,15.357807,268.36475,320.4814,0.0,1.0141277,5109.6113,4.6035,-0.1942,,0.8566763417967024,15.945015,,1237666338652618819,0.015914185,1499,53001,184,-0.0001564346,5.609098820981901,2445,2445
82847,2534532086237853824,18.111872851407306,-0.21730688459016345,17.214596,15.504323,157.13347,354.41098,0.1251701,1.7102728,4294.0947,4.5677,0.2449,,1.816010682409469,16.400902,,1237663783668416759,0.02336424,1499,53001,180,5.214862e-06,7.696493788756065,854,854
83003,2534780885103346432,17.214401201777317,0.10619389457222775,16.515303,14.848038,289.3149,675.1451,0.08377208,1.6672649,4417.1494,4.6067,0.4919,,2.065588203465789,15.718131,,1237663784204959851,0.03204693,1499,53001,399,-5.557337e-05,7.293349788778929,737,737
83024,2534807170303215744,17.414180824071597,0.26293401524732235,16.740274,15.189679,157.47826,429.0555,1.9992658,1.5505953,4235.4517,4.6918,-0.3408,,1.0653380177369662,16.102018,,1237666339726229635,0.13505024,1498,52914,600,-0.0001202784,6.239455484148916,486,486
83082,2534881249899201024,18.31750975751336,0.5750889058756385,18.226963,16.580208,65.2263,239.33179,0.0,1.6467552,4265.0073,4.6529,0.0024,,0.8662238705184101,17.429592,,1237663784742289509,0.060211904,1081,52531,494,0.0001620087,7.117742869595112,3641,3641
83151,2535037861586600448,19.417695569081523,0.4558532267506487,16.170488,14.717976,414.06357,625.4411,0.0,1.4525127,4599.9497,4.6342,0.7023,,1.8040392898341533,15.503179,,1237663784742748206,0.017800642,1500,53730,468,-2.027737e-05,6.784408555132508,2485,2485
83172,2535107538840693632,20.52083418881551,0.7507142972828265,18.126482,16.951874,76.41264,130.98315,0.0,1.1746082,4659.576,4.4696,-0.6236,,0.6422352159780931,17.624458,,1237663204923146400,0.025817744,1500,53730,577,-0.0002407907,6.662928891747665,2701,2701
83173,2535115480235563392,20.657039610113728,0.8518194508937003,16.476404,14.742817,369.1523,688.3809,0.0,1.7335873,4357.201,4.593,0.3355,,2.4900932923540746,15.6396265,,1237663785280208993,0.027904715,1080,52614,619,1.478401e-05,7.620704595087052,4007,4007
83192,2535176125173740032,19.972010294323155,0.9617200017871569,17.32278,15.6119995,164.34335,217.68137,0.08635517,1.7107811,4072.449,4.6828,-0.2821,,1.9628053022375647,16.521374,,1237663785279881329,0.06812292,1500,53730,452,-4.764661e-05,7.985759861253495,2578,2578
83238,2535316312906396416,18.651080129759354,0.9661309692365231,17.186413,15.988669,136.13408,239.17084,0.0,1.1977434,4679.0522,4.4745,-0.4764,,0.8458604806057908,16.663603,,1237663785279291529,0.06888149,1499,53001,538,-9.198309e-05,6.3000965029220914,1129,1129
83249,2535730416473425920,15.06991292568689,-1.1144702325328617,16.052412,14.731693,402.5051,814.17084,0.038413357,1.3207188,,,,,1.909521764889681,15.464703,,1237663782593364189,0.061967503,1083,52520,45,9.766296e-05,6.869325670514073,536,536
83271,2535796009213914368,14.471023506905771,-0.9108125319172161,17.040565,15.698204,177.1243,301.9536,0.29340157,1.3423615,4553.0938,4.7076,-0.7114,,1.1125000033603898,16.466166,,1237666338114306143,0.05270807,1083,52520,135,-0.0001941998,6.697665647426479,3791,3791
83286,2535867340030733056,13.45624357642085,-1.1397943046207455,16.635902,14.917115,325.39243,627.9544,0.29622537,1.7187872,4174.771,4.3775,0.0065,,2.0216894799880376,15.812345,,1237663782592643280,0.07983019,1129,52641,46,6.031499e-05,7.340916807154045,1085,1085
83299,2535886375325728256,12.99399557204374,-1.2578194193768137,17.73169,16.041077,108.52804,360.0411,0.16410856,1.6906128,4407.1963,4.667,0.2633,,1.2759582720164173,16.915556,,1237663782592446652,0.0059894184,1132,52903,89,1.574941e-05,7.444738312859222,2440,2440
83331,2535915473728808192,13.377208972335342,-1.0850081826497406,17.830912,15.869374,112.34133,500.70554,0.08332856,1.9615374,3610.6963,4.2076,-0.7391,,1.5633741698102397,16.849987,,1237663782592643171,0.046367373,1128,52637,48,-0.0001597529,7.820301691194949,1961,1961
83339,2535923891864776576,13.47338775944333,-0.95795049238581,18.084826,16.52014,104.31754,241.31705,0.0,1.5646858,4426.291,4.5902,0.2985,,1.1198770308279633,17.33545,,1237666338113847457,0.045834277,1129,52641,55,9.127611e-05,7.581300904579315,667,667
83431,2536042574696422912,13.38987648399249,-0.5940443570333013,17.382141,15.8454,118.93458,303.4934,0.86803913,1.5367413,4348.381,4.4918,-0.1243,,1.4153155140433866,16.700562,,1237656971302207635,0.044729166,1128,52637,103,-1.307397e-05,7.454827859606095,1426,1426
