,source_id,ra,dec,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise,bp_rp,teff_gspphot,logg_gspphot,mh_gspphot,vbroad,parallax,phot_g_mean_mag,alphafe_gspspec,original_ext_source_id,angular_distance,plate,mjd,fiberID,redshift,abs_g_mag,x_test_index,X_test_index
27102,787923780658695680,176.79978931055325,49.46688531188441,18.372797,18.081629,70.89613,63.072006,0.0,0.2911682,,,,,9.75585685084276,18.290176,,1237658612519993400,0.022852961,967,52636,28,1.556947,13.236503487701999,1686,1686
27424,794316478699788160,144.9942709258101,34.03140687662236,18.901371,18.526089,40.535843,35.7457,0.38190728,0.3752823,,,,,8.38104239578949,18.77081,,1237664871898480779,0.051509462,1594,52992,82,1.079354,13.38729936135671,3043,3043
28681,812202337427426304,139.14591755496406,38.92930816788798,16.62115,16.617186,128.68755,151.17078,0.0,0.0039634705,,,,,10.983473194800709,16.619936,,1237657873254514731,0.053793695,937,52707,634,-5.506409e-05,11.82363446172615,457,457
28737,812957835058551936,143.5412621979814,39.46648757288081,18.366444,18.198978,79.670296,50.505672,0.3317242,0.16746521,,,,,7.195225472173491,18.298256,,1237660343935959101,0.041197013,1215,52725,241,-0.0006460991,12.58347795887995,1453,1453
29222,819574013135499776,141.55581558912704,47.42226520944766,18.385954,17.961134,82.16648,60.69838,0.0,0.42481995,,,,,10.666919362726503,18.2417,,1237657632187744361,0.055323698,900,52637,41,1.00725,13.381894278878313,870,870
30975,842498482680906496,166.95637019962203,52.78087402316881,18.482788,17.98161,71.85592,75.45791,0.43404248,0.50117874,,,,,10.377182347822195,18.310263,,1237658800959520914,0.04332176,1012,52649,282,0.0001726964,13.390659921166819,596,596
31171,845453351461091968,179.27408408538076,58.077744579439575,17.848524,18.073526,116.37768,62.27925,0.0,-0.22500229,,,,,4.408482281103467,17.903263,,1237657612876644508,0.05481557,1312,52781,564,-0.000160279,11.124708589958253,861,861
31248,846625224698458624,177.9241607758168,59.574843236264485,18.525103,18.615553,84.412094,51.492672,0.15585756,-0.09045029,,,,,4.224575253990404,18.529526,,1237655107839524896,0.03362611,953,52411,171,-0.0001878627,11.658441010695178,3877,3877
31533,852389998522541824,151.17690335990577,53.53046533601605,17.918262,18.161367,121.95843,71.84259,0.0,-0.24310493,,,,,3.5017113493701175,17.981781,,1237657634875834370,0.048235565,903,52400,401,3.105733e-05,10.703182724673063,2468,2468
31535,852433880203843712,151.33678837856107,53.901444146106115,18.012817,17.469631,87.75347,89.94905,0.13955607,0.5431862,,,,,17.735440404520375,17.815073,,1237657772321144857,0.07106832,903,52400,445,0.0006283271,14.05928289978084,2312,2312
32262,858668312996104576,178.65165081862563,60.199670311260796,18.134163,17.956871,86.13287,69.87991,0.0,0.17729187,,,,,7.070324991129213,18.061396,,1237658312402862082,0.06208723,954,52405,359,-5.694515e-05,12.308592529267685,3829,3829
33047,872179695993755392,114.71232782030461,27.117685417754135,18.243484,18.10604,78.441986,51.41712,0.0,0.13744545,,,,,3.9668293097343397,18.17458,,1237657594070696205,0.01578488,888,52339,110,-7.587359e-05,11.16679718759804,3022,3022
34645,901669770377650304,124.10370131969478,33.127609159698366,17.941444,18.087961,78.0584,42.250637,0.026352732,-0.1465168,,,,,4.224541708958461,17.945621,,1237657630045503615,0.035587337,862,52325,277,0.0001215584,11.074519501799472,3751,3751
35068,909857558591945600,129.25927449593334,36.87877113672824,18.369009,17.981396,90.96264,46.072704,0.0,0.3876133,,,,,7.397514975243049,18.24393,,1237657630047993895,0.026939306,864,52320,432,3.602065e-05,12.58936008166291,2859,2859
35315,913355616180451584,131.39162739951362,41.942925768868044,18.527884,18.266382,38.304737,36.82838,0.0,0.2615013,,,,,8.529526328598221,18.423376,,1237657606964183080,0.04016436,896,52592,41,5.270585e-05,13.078000653872913,1754,1754
35535,917539532801552640,130.00504526762631,45.49255097277504,18.302673,18.034388,40.878956,61.162094,0.4980577,0.26828575,,,,,9.292900761724098,18.217989,,1237655108899504165,0.050429363,763,52235,263,0.0001164031,13.058745464758164,1260,1260
35781,923023248261420672,119.9964292531568,43.58991194574878,16.29825,15.818569,196.74374,325.1175,0.0,0.47968102,,,,,45.5404743108346,16.143442,,1237651252017889327,0.080234274,437,51876,372,0.964936,14.43542990165319,2877,2877
36066,930242465515189376,126.57418277032838,46.7543753916722,17.605225,17.222635,91.01976,102.69293,0.0,0.38258934,,,,,16.713047280851043,17.466898,,1237653589021753418,0.066659994,441,51868,20,-0.000335475,13.582176173430465,2012,2012
36216,934678823134832640,122.79824312269741,49.52725547797462,18.903704,18.700191,42.25973,34.886066,0.5212455,0.20351219,,,,,4.297640439084534,18.802015,,1237651496833515734,0.04112822,440,51885,422,2.954094e-05,11.96816569229502,2244,2244
38000,1020653077580086784,147.56947299601484,53.25396386015177,15.192717,14.9442215,954.43555,584.0756,0.021934018,0.2484951,,,,,36.22795888438665,15.111236,,1237654652035268655,0.057037894,769,52282,135,0.003689509,12.906454949512145,1659,1659
38605,1029230844528601472,132.11640385917732,52.23917077642631,18.177946,17.901733,115.31121,67.18115,0.0,0.2762127,,,,,9.445041296205025,18.08406,,1237651250949324816,0.03999338,447,51877,499,1.548846,12.960079974503902,1330,1330
