source_id,ra,dec,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise,bp_rp,teff,logg,mh,vbroad,alpha
1254836753509542656,217.84071725264195,23.65762227120969,12.931718,12.062947,1581.9078,2295.0664,0.06617976,0.8687706,5673.427,4.2104,0.0878,,-0.04
1268978805209813504,223.05960279059087,26.535471680520555,12.23605,11.271707,2124.7585,2564.2915,0.0862132,0.9643431,5319.865,4.4629,-0.0616,,0.0
1279913005966831360,220.69431087414245,27.224981581847587,12.936666,11.907717,1994.4072,2181.9604,0.06935628,1.0289488,5837.191,2.8518,-0.1902,14.110748,-0.07
1467502918165486464,195.4822812673166,33.3642506656122,12.295951,11.504699,2522.9482,3337.3176,0.18977062,0.79125214,5767.6445,4.2113,0.0502,,0.05
3045804782701201408,105.746047766825,-11.789280406171505,12.098301,10.596193,1619.761,2945.8638,0.10829797,1.5021076,4732.793,2.2418,-0.6511,11.837214,0.02
3055799725654424704,115.34900909605823,-6.46995427470268,12.920249,11.541531,1800.6846,4098.209,0.07206399,1.3787184,4821.9243,2.5703,-0.0195,11.769635,-0.12
3066587171669032576,127.39049581713911,-3.580675847723853,12.461646,11.23862,1165.902,2189.4067,0.07872258,1.2230263,4771.293,2.4997,-0.2094,10.732644,-0.07
3089295758977940864,117.53422862019502,3.6804235557126,12.540035,11.808682,2282.9128,3379.4575,0.03816817,0.7313528,5959.341,4.3067,-0.0763,,0.27
3089764636265201024,123.16996570318045,0.86985762888147,12.604444,11.71034,1905.478,2200.0193,0.06835004,0.894104,5595.2983,3.9396,-0.0922,,0.05
3091393184783517824,123.86446010984791,3.6350050092328106,12.760464,11.713455,1850.6119,3188.804,0.055324953,1.0470085,5091.2544,3.4327,-0.1933,,-0.05
2812170282763771264,348.8413776081048,13.30856995273879,12.574894,10.960414,825.58624,2245.6584,0.044763967,1.61448,4296.3374,4.671,0.1148,5.673155,0.22
2815343709544002944,347.27172560716224,13.674817537826279,12.960311,11.822445,1472.5076,3522.5093,0.043961547,1.137866,4885.211,4.5766,-0.0868,,0.22
4967842749771207552,29.871767649016796,-37.16909990638028,11.6393585,11.005936,2208.5974,3490.821,0.18277855,0.63342285,6450.5825,4.1923,-0.4577,,0.18
5025437019963515136,26.521172271350352,-26.385011496181015,12.280736,11.555904,2682.381,3383.8862,0.07287324,0.7248316,6126.4316,3.9348,-0.4797,9.783152,0.08
5130859775382602624,35.14346243864894,-19.673280424371086,12.0554695,10.937027,1492.5546,2571.957,0.12279639,1.1184425,4936.1484,4.5064,0.1344,,0.01
6545853209364156416,340.59077595717224,-39.833496281016764,12.44243,11.772422,1926.3049,2273.415,0.053342357,0.6700077,6152.762,4.1967,-0.0951,,0.08
6551440588154543616,352.2156655272167,-35.53357848466,11.894637,11.085956,1053.1067,1428.5354,0.11018586,0.8086815,5672.3335,4.2358,-0.2443,,0.13
6587157673627720448,330.2463552315867,-36.55648512361852,6.962851,5.742973,1429.7711,1128.8346,0.107297935,1.2198782,4630.689,2.4476,-0.197,7.722154,-0.06
6611396128288020480,331.76136862813394,-34.7398553365746,12.876062,12.076735,1961.3855,2467.4922,0.04426698,0.79932785,5705.626,4.4804,-0.5153,,0.52
6618859033396850560,334.13274042808325,-27.02157409331333,11.319046,10.423988,2039.6835,3656.2085,0.0813025,0.8950577,5525.909,4.1159,0.3212,,-0.07
6818103322172990080,326.5307129012582,-20.896420025856617,11.233786,10.443445,2879.876,3516.4766,0.0747646,0.7903404,5800.0347,4.1553,0.0367,5.013116,0.01
6835671589544784256,318.99681020521155,-16.884588259957376,13.159944,11.881638,2080.9426,3587.5923,0.046920966,1.278306,4661.536,2.1439,-0.6582,11.422401,-0.06
6840275970579738368,327.9482372542809,-14.180203604670147,12.434535,11.496617,1048.2107,1963.8844,0.12717597,0.9379177,5458.0127,4.2582,-0.0277,,0.03
6911176637867269632,317.3429267870972,-5.6250263771583775,11.140807,10.395055,1571.8046,2336.2312,0.09142695,0.74575233,6055.5234,4.0257,-0.0939,,0.05
6573365842777728,41.212031265705875,6.109617202883383,12.161557,11.392703,1617.2041,2138.2493,0.07726152,0.76885414,5961.353,3.7636,-0.7452,,0.01
75547001563471232,35.072731410731556,14.043142449466039,12.505851,11.533819,1149.3751,2434.907,0.38483638,0.9720316,5190.592,4.3698,-0.5004,5.071577,-0.09
114222009537482880,40.48191401506637,25.248892730001725,12.817108,11.521823,982.4636,2593.2634,0.08329677,1.2952852,5436.1655,3.0591,-0.1586,9.500529,-0.09
305061189049544576,29.464770004624736,33.53289143420572,12.188722,11.416102,1862.1752,2477.5496,0.08176067,0.77261925,6126.405,4.338,-0.2509,,-0.11
332429785813992448,31.61800429741355,38.20284645313973,11.53566,10.73714,1454.596,2115.484,0.12821764,0.7985201,5727.682,4.3314,-0.1289,,0.13
348354390673500672,23.75139621827954,42.3922130729998,10.477182,9.436837,3258.725,3875.5864,0.2951681,1.0403452,5735.9263,3.3007,-0.04,9.283786,-0.0
1848181400213629824,320.76676315148654,27.701460231783166,11.88037,11.17605,2361.2024,3069.8237,0.15503918,0.70431995,6156.1343,4.2225,-0.3441,5.35323,0.29
