source_id,ra,dec,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise,bp_rp,teff,logg,mh,vbroad,alpha,original_ext_source_id,angular_distance
3392284643487145984,76.87439893692675,15.031427642229367,13.027935,11.665214,1018.4078,1405.0479,0.045469336,1.3627214,4592.968,4.6129,-0.0115,,0.14,1237673473643905227,0.046072
3412539395721927808,74.22349250087123,22.55551576447918,13.310777,12.125047,2011.3655,3378.544,0.059764367,1.18573,5508.049,4.0724,-0.1733,,0.03,1237671255836197315,0.06268853
3419351488731843072,77.4231900515276,25.71681767991422,12.927105,11.016049,2221.0344,2184.064,0.08525068,1.9110556,4954.1123,2.7375,-0.0039,11.458476,-0.07,1237671256911773952,0.044401936
3421587414347110016,80.43775278597037,28.324166929110955,13.0666685,11.84167,1129.0482,2016.5973,2.3517256,1.2249985,5646.7725,4.5913,-0.5665,,-0.17,1237673413512986932,0.03747205
3425571121069541504,94.15983523585697,23.64501407326584,14.148884,11.966737,611.5936,1974.3684,0.0,2.182147,5082.181,2.4095,0.1705,8.146714,0.01,1237673755497726858,0.055511978
3425628364393362816,93.89610469306577,23.898455280669108,10.865828,10.221464,2083.6545,2907.9358,0.39632618,0.6443634,6441.3037,3.9021,-0.1833,,0.45,1237673738855580073,0.39062017
3452307773522381312,92.30911948638965,33.99644272008158,11.423266,10.573041,425.57248,729.4275,1.7616035,0.85022545,5877.823,4.5272,-0.3414,15.307017,0.32,1237673430151004368,0.19686426
3452672021108564352,94.01813507119462,35.1582950305235,13.196552,11.794689,500.55777,783.0069,0.40623844,1.4018631,4589.2324,4.4339,-0.3567,18.444096,0.11,1237673430688661609,0.07314784
3589443364863213440,171.32233239976622,-11.523016038912498,12.727951,11.857893,1878.0741,2144.4775,0.058722842,0.87005806,5533.969,4.3336,0.0257,,0.11,1237671165634609217,0.11343317
3601849257638869888,178.0762440297776,-2.913771198093967,12.879186,11.835322,2016.8243,3374.8145,0.07674595,1.0438633,5217.283,4.5026,0.0218,,0.0,1237650369944223823,0.031956233
3634297804279101952,205.3633361158153,-3.069737354515091,11.009383,10.285777,2606.4377,3357.5361,0.11286126,0.7236061,5953.3076,4.2929,-0.6321,,0.17,1237655493832933393,0.10814092
3650568720944616576,221.63546781657718,-0.8771060384165372,13.036147,11.626104,1008.1992,2251.4282,0.06130989,1.4100428,4590.641,2.1128,-0.4218,8.077342,0.18,1237648720175235191,0.019851875
3659855230512312832,212.64428828637554,-0.2840880174828486,11.343268,10.176619,1510.0105,2542.5818,0.07754012,1.1666498,4842.515,2.9861,-0.2018,,0.02,1237648704052986015,0.045228776
3663440974153236224,205.1680358105917,1.0875226814614904,12.626611,12.014558,2611.0486,2737.5022,0.11006107,0.6120529,6460.8174,3.966,-0.4071,,0.15,1237651505954750538,0.11231959
3675444445672816256,190.92707354401045,-7.789990204066143,12.857752,11.9809,1953.4381,2113.1033,0.05620949,0.87685204,5694.155,4.5134,-0.687,,-0.09,1237671764246265943,0.020631865
3693757400245533568,187.33080135920022,-2.2323730116422307,11.6196165,10.723649,1813.0214,3564.3677,0.15652047,0.8959675,5614.9917,3.8255,-0.6791,,0.31,1237650371022028864,0.10827051
3730632477620010496,195.11211106251176,7.995486971549028,10.359579,9.678169,3215.3784,6127.8457,0.09222663,0.68140984,6076.083,3.9574,-0.4794,,0.19,1237661972263665722,0.35686705
3734988639610229888,191.60510619765614,9.647195602991047,11.8967905,11.078573,1857.819,2734.2886,0.18118113,0.8182173,5660.7397,4.2219,-0.1208,,0.0,1237658492284371070,0.052518398
3812129207183287680,167.9645073453892,3.8086467348140203,10.737146,10.074884,3221.0244,3447.409,0.10928184,0.66226196,6157.6924,3.929,-0.6738,,0.16,1237654604255395930,0.19765873
3815155612938640896,167.6632628079673,4.142940495602299,12.240455,11.472628,1468.6404,2601.6016,0.061759036,0.76782703,5815.441,4.1446,-0.1969,7.115152,-0.01,1237654600497365024,0.039130345
3846464653215837952,145.6129751897516,1.3571314830742438,13.046135,12.172384,2068.4622,2480.1733,0.06488147,0.8737507,5524.6294,4.3067,-0.4094,,-0.18,1237653664183156851,0.00827564
3858136793779041408,162.2002980877264,4.9516243792623325,11.971196,11.182864,1232.6248,1774.7828,0.10103454,0.788332,5732.8164,4.1946,-0.2652,10.113235,0.05,1237654605863518310,0.09588371
3887246192325467264,155.62082348350194,13.75353581281223,12.322865,11.314863,985.66656,2775.6904,0.07754314,1.0080013,5208.7236,4.4977,0.1136,8.063627,-0.1,1237661070324531207,0.038837735
